genreA,genreB,genreC,movie
adventure,animation,buddy,"Rescuers, The (1977)"
adventure,animation,buddy,Over the Hedge (2006)
adventure,animation,buddy,Charlotte's Web 2: Wilbur's Great Adventure (2003)
adventure,animation,buddy,Oliver & Company (1988)
adventure,animation,buddy,"Land Before Time, The (1988)"
adventure,animation,buddy,"Emperor's New Groove, The (2000)"
adventure,animation,buddy,Brother Bear (2003)
adventure,animation,buddy,Cars 2 (2011)
action,adventure,buddy,Dragonheart (1996)
action,adventure,buddy,Fled (1996)
action,adventure,buddy,Cats & Dogs (2001)
action,adventure,buddy,"Rock, The (1996)"
action,adventure,buddy,Bulletproof Monk (2003)
action,adventure,buddy,Ghostbusters (a.k.a. Ghost Busters) (1984)
action,adventure,buddy,Free Birds (2013)
action,adventure,buddy,Who Framed Roger Rabbit? (1988)
action,adventure,buddy,"Lone Ranger, The (2013)"
action,adventure,buddy,Wild Hogs (2007)
action,adventure,buddy,Space Cowboys (2000)
action,adventure,buddy,"Rundown, The (2003)"
action,adventure,buddy,Sholay (1975)
action,adventure,buddy,Live Free or Die Hard (2007)
action,adventure,buddy,Your Highness (2011)
action,adventure,buddy,Super Mario Bros. (1993)
action,adventure,buddy,Nothing to Lose (1997)
action,adventure,buddy,Six-String Samurai (1998)
action,adventure,buddy,Sahara (2005)
action,adventure,buddy,Shanghai Knights (2003)
action,adventure,buddy,"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971)"
action,adventure,buddy,Madagascar: Escape 2 Africa (2008)
action,adventure,buddy,"All the Way Boys (Più forte, ragazzi!) (1972)"
action,adventure,buddy,"Defiant Ones, The (1958)"
action,adventure,buddy,Shanghai Noon (2000)
action,adventure,buddy,Cars 2 (2011)
action,adventure,buddy,Crime Busters (1977)
action,adventure,buddy,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
adventure,buddy,drama,Crime Busters (1977)
adventure,buddy,drama,Space Cowboys (2000)
adventure,buddy,drama,Zindagi Na Milegi Dobara (2011)
adventure,buddy,drama,"Rescuers, The (1977)"
adventure,buddy,drama,Sholay (1975)
adventure,buddy,drama,Camilla (1994)
adventure,buddy,drama,Transamerica (2005)
adventure,buddy,drama,"Defiant Ones, The (1958)"
adventure,buddy,drama,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
adventure,buddy,drama,Fire Down Below (1957)
adventure,buddy,drama,Boom Town (1940)
adventure,buddy,drama,"Land Before Time, The (1988)"
adventure,buddy,drama,Brother Bear (2003)
adventure,buddy,drama,Fear and Loathing in Las Vegas (1998)
adventure,buddy,drama,Land Ho! (2014)
adventure,buddy,parody,"Adventures of Rocky and Bullwinkle, The (2000)"
adventure,buddy,parody,Paul (2011)
adventure,buddy,parody,Bill & Ted's Bogus Journey (1991)
adventure,buddy,parody,Jay and Silent Bob Strike Back (2001)
adventure,buddy,parody,Year One (2009)
adventure,buddy,parody,DeadHeads (2011)
adventure,buddy,imax,Toy Story 3 (2010)
adventure,buddy,imax,Madagascar: Escape 2 Africa (2008)
adventure,buddy,imax,Happy Feet (2006)
adventure,buddy,imax,Open Season (2006)
adventure,buddy,imax,Cars 2 (2011)
adventure,buddy,imax,"Lone Ranger, The (2013)"
adventure,buddy,musical,Six-String Samurai (1998)
adventure,buddy,musical,"Rescuers, The (1977)"
adventure,buddy,musical,The Fox and the Hound 2 (2006)
adventure,buddy,musical,Sholay (1975)
adventure,buddy,musical,Happy Feet (2006)
adventure,buddy,musical,Charlotte's Web 2: Wilbur's Great Adventure (2003)
adventure,buddy,musical,Oliver & Company (1988)
adventure,buddy,musical,"Race for Your Life, Charlie Brown (1977)"
adventure,buddy,musical,Road to Rio (1947)
adventure,buddy,musical,Robin Hood (1973)
adventure,buddy,musical,"O Brother, Where Art Thou? (2000)"
adventure,buddy,musical,"Emperor's New Groove, The (2000)"
adventure,buddy,musical,All Dogs Go to Heaven 2 (1996)
adventure,buddy,musical,"Goofy Movie, A (1995)"
adventure,buddy,musical,Open Season (2006)
adventure,buddy,musical,"Lion King 1½, The (2004)"
adventure,buddy,flashback,Toy Story 3 (2010)
adventure,buddy,flashback,Paulie (1998)
adventure,buddy,flashback,Madagascar: Escape 2 Africa (2008)
adventure,buddy,flashback,Toy Story 2 (1999)
adventure,buddy,flashback,"Emperor's New Groove, The (2000)"
adventure,buddy,flashback,Open Season (2006)
animation,buddy,drama,"Hunchback of Notre Dame, The (1996)"
animation,buddy,drama,"Rescuers, The (1977)"
animation,buddy,drama,"Fox and the Hound, The (1981)"
animation,buddy,drama,"Land Before Time, The (1988)"
animation,buddy,drama,Osmosis Jones (2001)
animation,buddy,drama,Ratatouille (2007)
animation,buddy,drama,All Dogs Go to Heaven (1989)
animation,buddy,drama,Brother Bear (2003)
animation,buddy,drama,Dumbo (1941)
animation,buddy,comedy drama,"Hunchback of Notre Dame, The (1996)"
animation,buddy,comedy drama,Toy Story 3 (2010)
animation,buddy,comedy drama,"Rescuers, The (1977)"
animation,buddy,comedy drama,The Fox and the Hound 2 (2006)
animation,buddy,comedy drama,"Fox and the Hound, The (1981)"
animation,buddy,comedy drama,Charlotte's Web 2: Wilbur's Great Adventure (2003)
animation,buddy,comedy drama,Oliver & Company (1988)
animation,buddy,comedy drama,Lilo & Stitch (2002)
animation,buddy,comedy drama,"Race for Your Life, Charlie Brown (1977)"
animation,buddy,comedy drama,Snoopy Come Home (1972)
animation,buddy,comedy drama,All Dogs Go to Heaven (1989)
animation,buddy,comedy drama,"Tigger Movie, The (2000)"
animation,buddy,comedy drama,"Princess and the Frog, The (2009)"
animation,buddy,imax,Toy Story 3 (2010)
animation,buddy,imax,Madagascar: Escape 2 Africa (2008)
animation,buddy,imax,Happy Feet (2006)
animation,buddy,imax,Open Season (2006)
animation,buddy,imax,Cars 2 (2011)
animation,buddy,imax,Happy Feet Two (2011)
animation,buddy,flashback,Toy Story 3 (2010)
animation,buddy,flashback,Madagascar: Escape 2 Africa (2008)
animation,buddy,flashback,Toy Story 2 (1999)
animation,buddy,flashback,Ratatouille (2007)
animation,buddy,flashback,"Emperor's New Groove, The (2000)"
animation,buddy,flashback,Open Season (2006)
animation,buddy,flashback,Cars (2006)
animation,buddy,family,"Fox and the Hound, The (1981)"
animation,buddy,family,"Land Before Time, The (1988)"
animation,buddy,family,Robin Hood (1973)
animation,buddy,family,Brother Bear (2003)
animation,buddy,family,Flushed Away (2006)
buddy,children,drama,"Hunchback of Notre Dame, The (1996)"
buddy,children,drama,"Rescuers, The (1977)"
buddy,children,drama,"Fox and the Hound, The (1981)"
buddy,children,drama,"Land Before Time, The (1988)"
buddy,children,drama,Osmosis Jones (2001)
buddy,children,drama,Ratatouille (2007)
buddy,children,drama,All Dogs Go to Heaven (1989)
buddy,children,drama,Brother Bear (2003)
buddy,children,drama,Gordy (1995)
buddy,children,drama,Dumbo (1941)
buddy,children,comedy drama,"Hunchback of Notre Dame, The (1996)"
buddy,children,comedy drama,Toy Story 3 (2010)
buddy,children,comedy drama,"Rescuers, The (1977)"
buddy,children,comedy drama,The Fox and the Hound 2 (2006)
buddy,children,comedy drama,"Fox and the Hound, The (1981)"
buddy,children,comedy drama,Charlotte's Web 2: Wilbur's Great Adventure (2003)
buddy,children,comedy drama,Oliver & Company (1988)
buddy,children,comedy drama,Lilo & Stitch (2002)
buddy,children,comedy drama,"Race for Your Life, Charlie Brown (1977)"
buddy,children,comedy drama,Snoopy Come Home (1972)
buddy,children,comedy drama,"Tigger Movie, The (2000)"
buddy,children,comedy drama,All Dogs Go to Heaven (1989)
buddy,children,comedy drama,"Princess and the Frog, The (2009)"
buddy,children,comedy drama,Gordy (1995)
buddy,children,imax,Toy Story 3 (2010)
buddy,children,imax,Madagascar: Escape 2 Africa (2008)
buddy,children,imax,Happy Feet (2006)
buddy,children,imax,Cars 2 (2011)
buddy,children,imax,Open Season (2006)
buddy,children,imax,Happy Feet Two (2011)
buddy,children,flashback,Toy Story 3 (2010)
buddy,children,flashback,Paulie (1998)
buddy,children,flashback,Madagascar: Escape 2 Africa (2008)
buddy,children,flashback,Toy Story 2 (1999)
buddy,children,flashback,Ratatouille (2007)
buddy,children,flashback,"Emperor's New Groove, The (2000)"
buddy,children,flashback,Open Season (2006)
buddy,children,flashback,Cars (2006)
buddy,children,family,"Fox and the Hound, The (1981)"
buddy,children,family,"Land Before Time, The (1988)"
buddy,children,family,Robin Hood (1973)
buddy,children,family,Brother Bear (2003)
buddy,children,family,Flushed Away (2006)
action,buddy,romance,Bandits (2001)
action,buddy,romance,Sholay (1975)
action,buddy,romance,"Classe Tous Risques (Big Risk, The) (1960)"
action,buddy,romance,Date Night (2010)
action,buddy,romance,Osmosis Jones (2001)
action,buddy,romance,Stakeout (1987)
action,buddy,romance,Weird Science (1985)
action,buddy,drama,This Is the End (2013)
action,buddy,drama,Harley Davidson and the Marlboro Man (1991)
action,buddy,drama,"City of Violence, The (Jjakpae) (2006)"
action,buddy,drama,"Killer, The (Die xue shuang xiong) (1989)"
action,buddy,drama,Heart Condition (1990)
action,buddy,drama,Thunderbolt and Lightfoot (1974)
action,buddy,drama,Space Cowboys (2000)
action,buddy,drama,Another 48 Hrs. (1990)
action,buddy,drama,Sholay (1975)
action,buddy,drama,"Boondock Saints, The (2000)"
action,buddy,drama,Lethal Weapon 2 (1989)
action,buddy,drama,Young Guns (1988)
action,buddy,drama,"Better Tomorrow, A (Ying hung boon sik) (1986)"
action,buddy,drama,Osmosis Jones (2001)
action,buddy,drama,Alien Nation (1988)
action,buddy,drama,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
action,buddy,drama,"Last Boy Scout, The (1991)"
action,buddy,drama,Bandits (2001)
action,buddy,drama,Downtown (1990)
action,buddy,drama,Hollywood Homicide (2003)
action,buddy,drama,Colors (1988)
action,buddy,drama,In Bruges (2008)
action,buddy,drama,Lethal Weapon (1987)
action,buddy,drama,"Cowboy Way, The (1994)"
action,buddy,drama,Lethal Weapon 3 (1992)
action,buddy,drama,Bad Boys (1995)
action,buddy,drama,Beverly Hills Cop (1984)
action,buddy,drama,"Classe Tous Risques (Big Risk, The) (1960)"
action,buddy,drama,48 Hrs. (1982)
action,buddy,drama,"Defiant Ones, The (1958)"
action,buddy,drama,Shottas (2002)
action,buddy,drama,Knockin' on Heaven's Door (1997)
action,buddy,drama,"Boondock Saints II: All Saints Day, The (2009)"
action,buddy,drama,Crime Busters (1977)
action,buddy,drama,"Corruptor, The (1999)"
action,buddy,drama,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
action,buddy,heist,Die Hard: With a Vengeance (1995)
action,buddy,heist,Bad Boys (1995)
action,buddy,heist,Bandits (2001)
action,buddy,heist,Formula 51 (2001)
action,buddy,heist,Thunderbolt and Lightfoot (1974)
action,buddy,heist,Once a Thief (Zong heng si hai) (1991)
action,buddy,heist,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
action,buddy,thriller,This Is the End (2013)
action,buddy,thriller,Collision Course (1989)
action,buddy,thriller,"City of Violence, The (Jjakpae) (2006)"
action,buddy,thriller,Fled (1996)
action,buddy,thriller,Midnight Run (1988)
action,buddy,thriller,"Killer, The (Die xue shuang xiong) (1989)"
action,buddy,thriller,Formula 51 (2001)
action,buddy,thriller,"Rock, The (1996)"
action,buddy,thriller,Real Men (1987)
action,buddy,thriller,Thunderbolt and Lightfoot (1974)
action,buddy,thriller,Taxi 2 (2000)
action,buddy,thriller,Silver Streak (1976)
action,buddy,thriller,Rise (2007)
action,buddy,thriller,Another 48 Hrs. (1990)
action,buddy,thriller,Sholay (1975)
action,buddy,thriller,"Boondock Saints, The (2000)"
action,buddy,thriller,Live Free or Die Hard (2007)
action,buddy,thriller,Lethal Weapon 2 (1989)
action,buddy,thriller,"Better Tomorrow, A (Ying hung boon sik) (1986)"
action,buddy,thriller,Lake Placid (1999)
action,buddy,thriller,Starsky & Hutch (2004)
action,buddy,thriller,Osmosis Jones (2001)
action,buddy,thriller,Alien Nation (1988)
action,buddy,thriller,Spies Like Us (1985)
action,buddy,thriller,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
action,buddy,thriller,"Green Hornet, The (2011)"
action,buddy,thriller,"Last Boy Scout, The (1991)"
action,buddy,thriller,Die Hard: With a Vengeance (1995)
action,buddy,thriller,Bandits (2001)
action,buddy,thriller,In Bruges (2008)
action,buddy,thriller,Lethal Weapon 4 (1998)
action,buddy,thriller,Lethal Weapon (1987)
action,buddy,thriller,Men at Work (1990)
action,buddy,thriller,Beverly Hills Cop III (1994)
action,buddy,thriller,"Rookie, The (1990)"
action,buddy,thriller,Bad Boys (1995)
action,buddy,thriller,Lethal Weapon 3 (1992)
action,buddy,thriller,Sunset (1988)
action,buddy,thriller,"Classe Tous Risques (Big Risk, The) (1960)"
action,buddy,thriller,48 Hrs. (1982)
action,buddy,thriller,"Defiant Ones, The (1958)"
action,buddy,thriller,Cars 2 (2011)
action,buddy,thriller,Stakeout (1987)
action,buddy,thriller,Tango & Cash (1989)
action,buddy,thriller,"Boondock Saints II: All Saints Day, The (2009)"
action,buddy,thriller,Once a Thief (Zong heng si hai) (1991)
action,buddy,thriller,"Corruptor, The (1999)"
action,buddy,thriller,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
action,buddy,exploitation,"City of Violence, The (Jjakpae) (2006)"
action,buddy,exploitation,"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971)"
action,buddy,exploitation,Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983)
action,buddy,exploitation,Shanghai Noon (2000)
action,buddy,exploitation,Bulletproof Monk (2003)
action,buddy,exploitation,Lethal Weapon 4 (1998)
action,buddy,exploitation,"Medallion, The (2003)"
action,buddy,exploitation,Once a Thief (Zong heng si hai) (1991)
action,buddy,exploitation,My Lucky Stars (Fuk sing go jiu) (1985)
action,buddy,martial arts,"City of Violence, The (Jjakpae) (2006)"
action,buddy,martial arts,Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983)
action,buddy,martial arts,Shanghai Noon (2000)
action,buddy,martial arts,Bulletproof Monk (2003)
action,buddy,martial arts,Lethal Weapon 4 (1998)
action,buddy,martial arts,"Medallion, The (2003)"
action,buddy,martial arts,Once a Thief (Zong heng si hai) (1991)
action,buddy,martial arts,My Lucky Stars (Fuk sing go jiu) (1985)
buddy,comedy drama,drama,Pride (2007)
buddy,comedy drama,drama,Sunny (Sseo-ni) (2011)
buddy,comedy drama,drama,Badmaash Company (2010)
buddy,comedy drama,drama,Coupe de Ville (1990)
buddy,comedy drama,drama,Smoke Signals (1998)
buddy,comedy drama,drama,Rosencrantz and Guildenstern Are Dead (1990)
buddy,comedy drama,drama,All Dogs Go to Heaven (1989)
buddy,comedy drama,drama,"Wild Life, The (1984)"
buddy,comedy drama,drama,Friday (1995)
buddy,comedy drama,drama,Big Bully (1996)
buddy,comedy drama,drama,Camilla (1994)
buddy,comedy drama,drama,"Fox and the Hound, The (1981)"
buddy,comedy drama,drama,Sideways (2004)
buddy,comedy drama,drama,3 Idiots (2009)
buddy,comedy drama,drama,Play it to the Bone (1999)
buddy,comedy drama,drama,Swingers (1996)
buddy,comedy drama,drama,"Cure, The (1995)"
buddy,comedy drama,drama,Here Comes the Navy (1934)
buddy,comedy drama,drama,Fear and Loathing in Las Vegas (1998)
buddy,comedy drama,drama,"Adventures of Priscilla, Queen of the Desert, The (1994)"
buddy,comedy drama,drama,Harold and Maude (1971)
buddy,comedy drama,drama,"Hunchback of Notre Dame, The (1996)"
buddy,comedy drama,drama,Mississippi Grind (2015)
buddy,comedy drama,drama,"Mighty, The (1998)"
buddy,comedy drama,drama,Little Fauss and Big Halsy (1970)
buddy,comedy drama,drama,Busting (1974)
buddy,comedy drama,drama,Wisegirls (2002)
buddy,comedy drama,drama,Gordy (1995)
buddy,comedy drama,drama,"Going Places (Valseuses, Les) (1974)"
buddy,comedy drama,drama,"Rescuers, The (1977)"
buddy,comedy drama,drama,With Honors (1994)
buddy,comedy drama,drama,Rain Man (1988)
buddy,crime,drama,Harley Davidson and the Marlboro Man (1991)
buddy,crime,drama,"City of Violence, The (Jjakpae) (2006)"
buddy,crime,drama,Life (1999)
buddy,crime,drama,Badmaash Company (2010)
buddy,crime,drama,Stray Dog (Nora inu) (1949)
buddy,crime,drama,"Killer, The (Die xue shuang xiong) (1989)"
buddy,crime,drama,"Shawshank Redemption, The (1994)"
buddy,crime,drama,Trainspotting (1996)
buddy,crime,drama,Thunderbolt and Lightfoot (1974)
buddy,crime,drama,Robot & Frank (2012)
buddy,crime,drama,Another 48 Hrs. (1990)
buddy,crime,drama,Down by Law (1986)
buddy,crime,drama,"Boondock Saints, The (2000)"
buddy,crime,drama,Lethal Weapon 2 (1989)
buddy,crime,drama,"Piece of the Action, A (1977)"
buddy,crime,drama,"Better Tomorrow, A (Ying hung boon sik) (1986)"
buddy,crime,drama,Osmosis Jones (2001)
buddy,crime,drama,Alien Nation (1988)
buddy,crime,drama,Pardon Us (1931)
buddy,crime,drama,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
buddy,crime,drama,"Last Boy Scout, The (1991)"
buddy,crime,drama,Bandits (2001)
buddy,crime,drama,Busting (1974)
buddy,crime,drama,Hollywood Homicide (2003)
buddy,crime,drama,Downtown (1990)
buddy,crime,drama,Colors (1988)
buddy,crime,drama,"Sting, The (1973)"
buddy,crime,drama,Lethal Weapon (1987)
buddy,crime,drama,Wisegirls (2002)
buddy,crime,drama,Gridlock'd (1997)
buddy,crime,drama,"Boondock Saints II: All Saints Day, The (2009)"
buddy,crime,drama,"Going Places (Valseuses, Les) (1974)"
buddy,crime,drama,"Rescuers, The (1977)"
buddy,crime,drama,Lethal Weapon 3 (1992)
buddy,crime,drama,Bad Boys (1995)
buddy,crime,drama,Beverly Hills Cop (1984)
buddy,crime,drama,"Classe Tous Risques (Big Risk, The) (1960)"
buddy,crime,drama,48 Hrs. (1982)
buddy,crime,drama,Shottas (2002)
buddy,crime,drama,"Defiant Ones, The (1958)"
buddy,crime,drama,Sleepers (1996)
buddy,crime,drama,Going in Style (1979)
buddy,crime,drama,Knockin' on Heaven's Door (1997)
buddy,crime,drama,In Bruges (2008)
buddy,crime,drama,Crime Busters (1977)
buddy,crime,drama,"Corruptor, The (1999)"
buddy,crime,drama,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,drama,heist,Bad Boys (1995)
buddy,drama,heist,Bandits (2001)
buddy,drama,heist,"Piece of the Action, A (1977)"
buddy,drama,heist,Going in Style (1979)
buddy,drama,heist,"Sting, The (1973)"
buddy,drama,heist,Thunderbolt and Lightfoot (1974)
buddy,drama,heist,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,drama,heist,Robot & Frank (2012)
buddy,drama,prison,Life (1999)
buddy,drama,prison,Down by Law (1986)
buddy,drama,prison,Sleepers (1996)
buddy,drama,prison,"Shawshank Redemption, The (1994)"
buddy,drama,prison,Pardon Us (1931)
buddy,drama,road movie,"Last Detail, The (1973)"
buddy,drama,road movie,Down by Law (1986)
buddy,drama,road movie,Kings of the Road (Im Lauf der Zeit) (1976)
buddy,drama,road movie,My Own Private Idaho (1991)
buddy,drama,road movie,"Adventures of Priscilla, Queen of the Desert, The (1994)"
buddy,drama,sport,"Last Boy Scout, The (1991)"
buddy,drama,sport,Chasing Mavericks (2012)
buddy,drama,sport,Little Fauss and Big Halsy (1970)
buddy,drama,sport,Play it to the Bone (1999)
buddy,drama,sport,Million Dollar Baby (2004)
buddy,drama,sport,Kai Po Che! (2013)
buddy,comedy drama,musical,"Hunchback of Notre Dame, The (1996)"
buddy,comedy drama,musical,"Rescuers, The (1977)"
buddy,comedy drama,musical,The Fox and the Hound 2 (2006)
buddy,comedy drama,musical,"Fox and the Hound, The (1981)"
buddy,comedy drama,musical,Charlotte's Web 2: Wilbur's Great Adventure (2003)
buddy,comedy drama,musical,Oliver & Company (1988)
buddy,comedy drama,musical,"Race for Your Life, Charlie Brown (1977)"
buddy,comedy drama,musical,Snoopy Come Home (1972)
buddy,comedy drama,musical,3 Idiots (2009)
buddy,comedy drama,musical,"Tigger Movie, The (2000)"
buddy,comedy drama,musical,All Dogs Go to Heaven (1989)
buddy,comedy drama,musical,"Princess and the Frog, The (2009)"
buddy,crime,fiction,"Rescuers, The (1977)"
buddy,crime,fiction,Super Fuzz (a.k.a. Super Snooper) (Poliziotto superpiù) (1980)
buddy,crime,fiction,Alien Nation (1988)
buddy,crime,fiction,We're No Angels (1989)
buddy,crime,fiction,Lethal Weapon (1987)
buddy,crime,fiction,"Medallion, The (2003)"
buddy,crime,fiction,In Bruges (2008)
buddy,crime,fiction,Who Framed Roger Rabbit? (1988)
buddy,crime,fiction,"Green Hornet, The (2011)"
buddy,crime,fiction,Robot & Frank (2012)
buddy,crime,romance,Bottle Rocket (1996)
buddy,crime,romance,Bandits (2001)
buddy,crime,romance,"Classe Tous Risques (Big Risk, The) (1960)"
buddy,crime,romance,Date Night (2010)
buddy,crime,romance,Osmosis Jones (2001)
buddy,crime,romance,Stakeout (1987)
buddy,crime,heist,Die Hard: With a Vengeance (1995)
buddy,crime,heist,Bottle Rocket (1996)
buddy,crime,heist,Bad Boys (1995)
buddy,crime,heist,Bandits (2001)
buddy,crime,heist,Harry and Walter Go to New York (1976)
buddy,crime,heist,"Piece of the Action, A (1977)"
buddy,crime,heist,Over the Hedge (2006)
buddy,crime,heist,First Sunday (2008)
buddy,crime,heist,Formula 51 (2001)
buddy,crime,heist,Going in Style (1979)
buddy,crime,heist,"Sting, The (1973)"
buddy,crime,heist,Thunderbolt and Lightfoot (1974)
buddy,crime,heist,Butch and Sundance: The Early Days (1979)
buddy,crime,heist,Once a Thief (Zong heng si hai) (1991)
buddy,crime,heist,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,crime,heist,Robot & Frank (2012)
buddy,crime,prison,Stir Crazy (1980)
buddy,crime,prison,Life (1999)
buddy,crime,prison,Down by Law (1986)
buddy,crime,prison,Sleepers (1996)
buddy,crime,prison,"Shawshank Redemption, The (1994)"
buddy,crime,prison,"Rock, The (1996)"
buddy,crime,prison,We're No Angels (1989)
buddy,crime,prison,Pardon Us (1931)
buddy,crime,prison,Tango & Cash (1989)
buddy,fantasy,musical,"Hunchback of Notre Dame, The (1996)"
buddy,fantasy,musical,"Princess and the Frog, The (2009)"
buddy,fantasy,musical,Pinocchio (1940)
buddy,fantasy,musical,"Rescuers, The (1977)"
buddy,fantasy,musical,"All Dogs Christmas Carol, An (1998)"
buddy,fantasy,musical,"Road to El Dorado, The (2000)"
buddy,fantasy,musical,Hoodwinked! (2005)
buddy,fantasy,musical,March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934)
buddy,fantasy,musical,Robin Hood (1973)
buddy,fantasy,musical,All Dogs Go to Heaven (1989)
buddy,fantasy,musical,"Emperor's New Groove, The (2000)"
buddy,fantasy,musical,All Dogs Go to Heaven 2 (1996)
buddy,fantasy,musical,"Goofy Movie, A (1995)"
buddy,fantasy,musical,"Jungle Book, The (1967)"
buddy,fantasy,musical,"Sword in the Stone, The (1963)"
buddy,fantasy,musical,Dumbo (1941)
buddy,musical,romantic comedy,House Party (1990)
buddy,musical,romantic comedy,Road to Bali (1952)
buddy,musical,romantic comedy,Road to Utopia (1946)
buddy,musical,romantic comedy,Road to Zanzibar (1941)
buddy,musical,romantic comedy,Road to Singapore (1940)
buddy,musical,romantic comedy,House Party 3 (1994)
buddy,musical,romantic comedy,Road to Rio (1947)
buddy,musical,romantic comedy,All Dogs Go to Heaven 2 (1996)
buddy,musical,romantic comedy,"Princess and the Frog, The (2009)"
buddy,musical,romantic comedy,Road to Morocco (1942)
buddy,musical,romantic comedy,House Party 2 (1991)
buddy,drama,musical,"Hunchback of Notre Dame, The (1996)"
buddy,drama,musical,"Rescuers, The (1977)"
buddy,drama,musical,"Fox and the Hound, The (1981)"
buddy,drama,musical,Sholay (1975)
buddy,drama,musical,Crossroads (1986)
buddy,drama,musical,3 Idiots (2009)
buddy,drama,musical,Pardon Us (1931)
buddy,drama,musical,All Dogs Go to Heaven (1989)
buddy,drama,musical,House Party 2 (1991)
buddy,drama,musical,Dumbo (1941)
adventure,animation,fantasy,Asterix and the Vikings (Astérix et les Vikings) (2006)
adventure,animation,fantasy,Small Soldiers (1998)
adventure,animation,fantasy,Atlantis: The Lost Empire (2001)
adventure,animation,fantasy,James and the Giant Peach (1996)
adventure,animation,fantasy,Alpha and Omega (2010)
adventure,animation,fantasy,Spirited Away (Sen to Chihiro no kamikakushi) (2001)
adventure,animation,fantasy,The Nutcracker Prince (1990)
adventure,animation,fantasy,"Pagemaster, The (1994)"
adventure,animation,fantasy,Revolutionary Girl Utena: Adolescence of Utena (a.k.a. Revolutionary Girl Utena the Movie) (Shoujo kakumei Utena: Adolescence mokushiroku) (1999)
adventure,animation,fantasy,Sinbad: Legend of the Seven Seas (2003)
adventure,animation,fantasy,Dragon Hunters (Chasseurs de dragons) (2008)
adventure,animation,fantasy,Pokémon: The First Movie (1998)
adventure,animation,fantasy,Who Framed Roger Rabbit? (1988)
adventure,animation,fantasy,Brave (2012)
