genreA,genreB,movie
adventure,buddy,"Monsters, Inc. (2001)"
adventure,buddy,Shrek (2001)
adventure,buddy,"All the Way Boys (Più forte, ragazzi!) (1972)"
adventure,buddy,Dumb & Dumber (Dumb and Dumber) (1994)
adventure,buddy,Over the Hedge (2006)
adventure,buddy,Shanghai Noon (2000)
adventure,buddy,Face to Face (Faccia a faccia) (1967)
adventure,buddy,Bottle Rocket (1996)
adventure,buddy,Free Birds (2013)
adventure,buddy,Sholay (1975)
adventure,buddy,Camilla (1994)
adventure,buddy,Your Highness (2011)
adventure,buddy,Super Mario Bros. (1993)
adventure,buddy,"Goat, The (a.k.a. Knock On Wood) (Chèvre, La) (1981)"
adventure,buddy,All Dogs Go to Heaven 2 (1996)
adventure,buddy,Six-String Samurai (1998)
adventure,buddy,Shanghai Knights (2003)
adventure,buddy,Madagascar: Escape 2 Africa (2008)
adventure,buddy,Transamerica (2005)
adventure,buddy,Harold & Kumar Escape from Guantanamo Bay (2008)
adventure,buddy,Robin Hood (1973)
adventure,buddy,Open Season (2006)
adventure,buddy,"Rescuers, The (1977)"
adventure,buddy,Charlotte's Web 2: Wilbur's Great Adventure (2003)
adventure,buddy,Bill & Ted's Excellent Adventure (1989)
animation,buddy,"All Dogs Christmas Carol, An (1998)"
animation,buddy,"Adventures of Rocky and Bullwinkle, The (2000)"
animation,buddy,Madagascar (2005)
animation,buddy,Ratatouille (2007)
animation,buddy,All Dogs Go to Heaven (1989)
animation,buddy,"SpongeBob SquarePants Movie, The (2004)"
animation,buddy,Happy Feet Two (2011)
animation,buddy,Cars (2006)
animation,buddy,Who Framed Roger Rabbit? (1988)
animation,buddy,Free Birds (2013)
animation,buddy,"Rugrats Movie, The (1998)"
animation,buddy,The Fox and the Hound 2 (2006)
animation,buddy,"Fox and the Hound, The (1981)"
animation,buddy,Lilo & Stitch (2002)
animation,buddy,"Race for Your Life, Charlie Brown (1977)"
animation,buddy,Osmosis Jones (2001)
animation,buddy,Mr. Peabody & Sherman (2014)
animation,buddy,"Extremely Goofy Movie, An (2000)"
animation,buddy,"Tigger Movie, The (2000)"
animation,buddy,Toy Story (1995)
animation,buddy,All Dogs Go to Heaven 2 (1996)
animation,buddy,"Goofy Movie, A (1995)"
animation,buddy,"Lion King 1½, The (2004)"
animation,buddy,"Jungle Book, The (1967)"
animation,buddy,"Sword in the Stone, The (1963)"
animation,buddy,"Princess and the Frog, The (2009)"
animation,buddy,Dumbo (1941)
animation,buddy,"Hunchback of Notre Dame, The (1996)"
animation,buddy,Toy Story 3 (2010)
animation,buddy,Pinocchio (1940)
animation,buddy,Madagascar: Escape 2 Africa (2008)
animation,buddy,Happy Feet (2006)
animation,buddy,Toy Story 2 (1999)
animation,buddy,Garfield: The Movie (2004)
animation,buddy,"Road to El Dorado, The (2000)"
animation,buddy,Charlotte's Web (1973)
animation,buddy,Hoodwinked! (2005)
animation,buddy,"Monsters, Inc. (2001)"
animation,buddy,Robin Hood (1973)
animation,buddy,Big Hero 6 (2014)
animation,buddy,Shrek (2001)
animation,buddy,Flushed Away (2006)
animation,buddy,Open Season (2006)
animation,buddy,Beavis and Butt-Head Do America (1996)
animation,buddy,"Rescuers, The (1977)"
animation,buddy,Over the Hedge (2006)
animation,buddy,Charlotte's Web 2: Wilbur's Great Adventure (2003)
animation,buddy,Oliver & Company (1988)
animation,buddy,Snoopy Come Home (1972)
animation,buddy,"Land Before Time, The (1988)"
animation,buddy,"Emperor's New Groove, The (2000)"
animation,buddy,Brother Bear (2003)
animation,buddy,Open Season 3 (2010)
animation,buddy,Cars 2 (2011)
buddy,children,"All Dogs Christmas Carol, An (1998)"
buddy,children,"Flintstones, The (1994)"
buddy,children,Cats & Dogs (2001)
buddy,children,"Adventures of Rocky and Bullwinkle, The (2000)"
buddy,children,Madagascar (2005)
buddy,children,Ratatouille (2007)
buddy,children,All Dogs Go to Heaven (1989)
buddy,children,"SpongeBob SquarePants Movie, The (2004)"
buddy,children,Happy Feet Two (2011)
buddy,children,Cars (2006)
buddy,children,Who Framed Roger Rabbit? (1988)
buddy,children,Ed (1996)
buddy,children,Free Birds (2013)
buddy,children,Paulie (1998)
buddy,children,"Rugrats Movie, The (1998)"
buddy,children,The Fox and the Hound 2 (2006)
buddy,children,"Fox and the Hound, The (1981)"
buddy,children,Lilo & Stitch (2002)
buddy,children,Cats & Dogs: The Revenge of Kitty Galore (2010)
buddy,children,"Race for Your Life, Charlie Brown (1977)"
buddy,children,Osmosis Jones (2001)
buddy,children,Mr. Peabody & Sherman (2014)
buddy,children,"Extremely Goofy Movie, An (2000)"
buddy,children,Super Mario Bros. (1993)
buddy,children,"Tigger Movie, The (2000)"
buddy,children,Toy Story (1995)
buddy,children,All Dogs Go to Heaven 2 (1996)
buddy,children,"Goofy Movie, A (1995)"
buddy,children,"Lion King 1½, The (2004)"
buddy,children,"Jungle Book, The (1967)"
buddy,children,"Sword in the Stone, The (1963)"
buddy,children,"Princess and the Frog, The (2009)"
buddy,children,The Fearless Four (1997)
buddy,children,"Hunchback of Notre Dame, The (1996)"
buddy,children,Dumbo (1941)
buddy,children,Toy Story 3 (2010)
buddy,children,Pinocchio (1940)
buddy,children,Madagascar: Escape 2 Africa (2008)
buddy,children,Happy Feet (2006)
buddy,children,Toy Story 2 (1999)
buddy,children,"Country Bears, The (2002)"
buddy,children,Garfield: The Movie (2004)
buddy,children,Cop and ½ (1993)
buddy,children,Charlotte's Web (1973)
buddy,children,Hoodwinked! (2005)
buddy,children,"Monsters, Inc. (2001)"
buddy,children,Meet the Deedles (1998)
buddy,children,Good Burger (1997)
buddy,children,Robin Hood (1973)
buddy,children,"Road to El Dorado, The (2000)"
buddy,children,Harry and the Hendersons (1987)
buddy,children,Shrek (2001)
buddy,children,Flushed Away (2006)
buddy,children,Open Season (2006)
buddy,children,Gordy (1995)
buddy,children,Air Raid Wardens (1943)
buddy,children,"Rescuers, The (1977)"
buddy,children,Over the Hedge (2006)
buddy,children,Charlotte's Web 2: Wilbur's Great Adventure (2003)
buddy,children,Oliver & Company (1988)
buddy,children,Snoopy Come Home (1972)
buddy,children,"Land Before Time, The (1988)"
buddy,children,March of the Wooden Soldiers (a.k.a. Babes in Toyland) (1934)
buddy,children,"Emperor's New Groove, The (2000)"
buddy,children,Brother Bear (2003)
buddy,children,Open Season 3 (2010)
buddy,children,Cars 2 (2011)
action,buddy,Dragonheart (1996)
action,buddy,21 Jump Street (2012)
action,buddy,Formula 51 (2001)
action,buddy,"Rock, The (1996)"
action,buddy,Heart Condition (1990)
action,buddy,Date Night (2010)
action,buddy,Bulletproof Monk (2003)
action,buddy,Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari) (1978)
action,buddy,Ghostbusters (a.k.a. Ghost Busters) (1984)
action,buddy,"Medallion, The (2003)"
action,buddy,Stop! Or My Mom Will Shoot (1992)
action,buddy,"Man, The (2005)"
action,buddy,Who Framed Roger Rabbit? (1988)
action,buddy,"Rundown, The (2003)"
action,buddy,Let's Be Cops (2014)
action,buddy,Die Hard: With a Vengeance (1995)
action,buddy,Sahara (2005)
action,buddy,Any Which Way You Can (1980)
action,buddy,"Duck, You Sucker (a.k.a. Fistful of Dynamite, A) (Giù la testa) (1971)"
action,buddy,"Rookie, The (1990)"
action,buddy,Young Guns II (1990)
action,buddy,Stakeout (1987)
action,buddy,Crime Busters (1977)
action,buddy,The Interview (2014)
action,buddy,This Is the End (2013)
action,buddy,Harley Davidson and the Marlboro Man (1991)
action,buddy,"City of Violence, The (Jjakpae) (2006)"
action,buddy,Cats & Dogs (2001)
action,buddy,Renegades (1989)
action,buddy,Real Men (1987)
action,buddy,Weird Science (1985)
action,buddy,Young Guns (1988)
action,buddy,Alien Nation (1988)
action,buddy,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
action,buddy,"Hard Way, The (1991)"
action,buddy,Nothing to Lose (1997)
action,buddy,On Probation (Tiempo de Valientes) (2005)
action,buddy,Aspen Extreme (1993)
action,buddy,Pineapple Express (2008)
action,buddy,Taxi 3 (2003)
action,buddy,Air America (1990)
action,buddy,"Blues Brothers, The (1980)"
action,buddy,Colors (1988)
action,buddy,"Cowboy Way, The (1994)"
action,buddy,White Chicks (2004)
action,buddy,Sunset (1988)
action,buddy,Beverly Hills Cop (1984)
action,buddy,"Classe Tous Risques (Big Risk, The) (1960)"
action,buddy,48 Hrs. (1982)
action,buddy,"Defiant Ones, The (1958)"
action,buddy,Double Team (1997)
action,buddy,Tango & Cash (1989)
action,buddy,Once a Thief (Zong heng si hai) (1991)
action,buddy,Cars 2 (2011)
action,buddy,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
action,buddy,Fled (1996)
action,buddy,Midnight Run (1988)
action,buddy,"Killer, The (Die xue shuang xiong) (1989)"
action,buddy,Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983)
action,buddy,Thunderbolt and Lightfoot (1974)
action,buddy,Silver Streak (1976)
action,buddy,"Lone Ranger, The (2013)"
action,buddy,Running Scared (1986)
action,buddy,Wild Hogs (2007)
action,buddy,Space Cowboys (2000)
action,buddy,Another 48 Hrs. (1990)
action,buddy,Money Talks (1997)
action,buddy,Live Free or Die Hard (2007)
action,buddy,Lethal Weapon 2 (1989)
action,buddy,"Better Tomorrow, A (Ying hung boon sik) (1986)"
action,buddy,Cats & Dogs: The Revenge of Kitty Galore (2010)
action,buddy,Lake Placid (1999)
action,buddy,Loose Cannons (1990)
action,buddy,Osmosis Jones (2001)
action,buddy,Spies Like Us (1985)
action,buddy,Amos & Andrew (1993)
action,buddy,Taxi (1998)
action,buddy,My Lucky Stars (Fuk sing go jiu) (1985)
action,buddy,"Last Boy Scout, The (1991)"
action,buddy,Butch Cassidy and the Sundance Kid (1969)
action,buddy,Bandits (2001)
action,buddy,Super Fuzz (a.k.a. Super Snooper) (Poliziotto superpiù) (1980)
action,buddy,Big Hero 6 (2014)
action,buddy,Lethal Weapon (1987)
action,buddy,"All the Way Boys (Più forte, ragazzi!) (1972)"
action,buddy,Lethal Weapon 3 (1992)
action,buddy,Ride Along (2014)
action,buddy,Shanghai Noon (2000)
action,buddy,Knockin' on Heaven's Door (1997)
action,buddy,"Corruptor, The (1999)"
action,buddy,Collision Course (1989)
action,buddy,Hot Fuzz (2007)
action,buddy,Taxi 2 (2000)
action,buddy,Free Birds (2013)
action,buddy,Rise (2007)
action,buddy,Sholay (1975)
action,buddy,"Boondock Saints, The (2000)"
action,buddy,Men in Black (a.k.a. MIB) (1997)
action,buddy,Your Highness (2011)
action,buddy,City Heat (1984)
action,buddy,Starsky & Hutch (2004)
action,buddy,Super Mario Bros. (1993)
action,buddy,"Green Hornet, The (2011)"
action,buddy,Six-String Samurai (1998)
action,buddy,Shanghai Knights (2003)
action,buddy,Madagascar: Escape 2 Africa (2008)
action,buddy,Downtown (1990)
action,buddy,Hollywood Homicide (2003)
action,buddy,Even Angels Eat Beans (1973)
action,buddy,Cop Out (2010)
action,buddy,Lethal Weapon 4 (1998)
action,buddy,Men at Work (1990)
action,buddy,"Boondock Saints II: All Saints Day, The (2009)"
action,buddy,Beverly Hills Cop III (1994)
action,buddy,Bulletproof (1996)
action,buddy,Bad Boys (1995)
action,buddy,Shottas (2002)
action,buddy,Blues Brothers 2000 (1998)
action,buddy,National Security (2003)
action,buddy,Kangaroo Jack (2003)
action,buddy,In Bruges (2008)
buddy,drama,Badmaash Company (2010)
buddy,drama,Smoke Signals (1998)
buddy,drama,"Shawshank Redemption, The (1994)"
buddy,drama,Heart Condition (1990)
buddy,drama,Dreamcatcher (2003)
buddy,drama,Trainspotting (1996)
buddy,drama,Friday (1995)
buddy,drama,Rounders (1998)
buddy,drama,Down by Law (1986)
buddy,drama,"Piece of the Action, A (1977)"
buddy,drama,Here Comes the Navy (1934)
buddy,drama,Fear and Loathing in Las Vegas (1998)
buddy,drama,"Adventures of Priscilla, Queen of the Desert, The (1994)"
buddy,drama,Dumbo (1941)
buddy,drama,Mississippi Grind (2015)
buddy,drama,Busting (1974)
buddy,drama,White Men Can't Jump (1992)
buddy,drama,Vinyan (2008)
buddy,drama,Land Ho! (2014)
buddy,drama,Sleepers (1996)
buddy,drama,"Friend of Mine, A (Ein Freund von mir) (2006)"
buddy,drama,"Land Before Time, The (1988)"
buddy,drama,Pocket Money (1972)
buddy,drama,With Honors (1994)
buddy,drama,"Heart in Winter, A (Un coeur en hiver) (1992)"
buddy,drama,Wrestling Ernest Hemingway (1993)
buddy,drama,Brother Bear (2003)
buddy,drama,Crime Busters (1977)
buddy,drama,This Is the End (2013)
buddy,drama,Harley Davidson and the Marlboro Man (1991)
buddy,drama,Sunny (Sseo-ni) (2011)
buddy,drama,"City of Violence, The (Jjakpae) (2006)"
buddy,drama,Life (1999)
buddy,drama,Me and the Colonel (1958)
buddy,drama,"Inevitable Defeat of Mister & Pete, The (2013)"
buddy,drama,Rosencrantz and Guildenstern Are Dead (1990)
buddy,drama,Chasing Mavericks (2012)
buddy,drama,Sideways (2004)
buddy,drama,Young Guns (1988)
buddy,drama,Kings of the Road (Im Lauf der Zeit) (1976)
buddy,drama,Fire Down Below (1957)
buddy,drama,Alien Nation (1988)
buddy,drama,Swingers (1996)
buddy,drama,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
buddy,drama,Harold and Maude (1971)
buddy,drama,Clerks (1994)
buddy,drama,"Mighty, The (1998)"
buddy,drama,Jules and Jim (Jules et Jim) (1961)
buddy,drama,My Own Private Idaho (1991)
buddy,drama,Colors (1988)
buddy,drama,Driving Miss Daisy (1989)
buddy,drama,Simon Birch (1998)
buddy,drama,Gypsy 83 (2001)
buddy,drama,D.C.H. (Dil Chahta Hai) (2001)
buddy,drama,Wisegirls (2002)
buddy,drama,Gung Ho (1986)
buddy,drama,"Cowboy Way, The (1994)"
buddy,drama,Zindagi Na Milegi Dobara (2011)
buddy,drama,Beverly Hills Cop (1984)
buddy,drama,"Classe Tous Risques (Big Risk, The) (1960)"
buddy,drama,48 Hrs. (1982)
buddy,drama,"Defiant Ones, The (1958)"
buddy,drama,Rain Man (1988)
buddy,drama,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,drama,Cocktail (1988)
buddy,drama,Pride (2007)
buddy,drama,Reign Over Me (2007)
buddy,drama,Stray Dog (Nora inu) (1949)
buddy,drama,"Killer, The (Die xue shuang xiong) (1989)"
buddy,drama,Boom Town (1940)
buddy,drama,Thunderbolt and Lightfoot (1974)
buddy,drama,Robot & Frank (2012)
buddy,drama,Space Cowboys (2000)
buddy,drama,Another 48 Hrs. (1990)
buddy,drama,"King's Speech, The (2010)"
buddy,drama,Lethal Weapon 2 (1989)
buddy,drama,"Better Tomorrow, A (Ying hung boon sik) (1986)"
buddy,drama,Osmosis Jones (2001)
buddy,drama,3 Idiots (2009)
buddy,drama,Play it to the Bone (1999)
buddy,drama,Pardon Us (1931)
buddy,drama,Last Vegas (2013)
buddy,drama,"Matador, The (2005)"
buddy,drama,"Last Boy Scout, The (1991)"
buddy,drama,Little Fauss and Big Halsy (1970)
buddy,drama,Bandits (2001)
buddy,drama,"Sting, The (1973)"
buddy,drama,Lethal Weapon (1987)
buddy,drama,Million Dollar Baby (2004)
buddy,drama,Gordy (1995)
buddy,drama,"Going Places (Valseuses, Les) (1974)"
buddy,drama,Lethal Weapon 3 (1992)
buddy,drama,"Bucket List, The (2007)"
buddy,drama,Knockin' on Heaven's Door (1997)
buddy,drama,Kai Po Che! (2013)
buddy,drama,Three Men and a Little Lady (1990)
buddy,drama,"Corruptor, The (1999)"
buddy,drama,Taxi Blues (1990)
buddy,drama,Coupe de Ville (1990)
buddy,drama,Ratatouille (2007)
buddy,drama,All Dogs Go to Heaven (1989)
buddy,drama,"Wild Life, The (1984)"
buddy,drama,Midnight Cowboy (1969)
buddy,drama,Big Bully (1996)
buddy,drama,Sholay (1975)
buddy,drama,"Boondock Saints, The (2000)"
buddy,drama,Camilla (1994)
buddy,drama,"Fox and the Hound, The (1981)"
buddy,drama,Rubin and Ed (1991)
buddy,drama,"Cure, The (1995)"
buddy,drama,"Hunchback of Notre Dame, The (1996)"
buddy,drama,Transamerica (2005)
buddy,drama,Downtown (1990)
buddy,drama,Hollywood Homicide (2003)
buddy,drama,Test Pilot (1938)
buddy,drama,Gridlock'd (1997)
buddy,drama,"Boondock Saints II: All Saints Day, The (2009)"
buddy,drama,"Last Detail, The (1973)"
buddy,drama,"Rescuers, The (1977)"
buddy,drama,Bad Boys (1995)
buddy,drama,Boogie Nights (1997)
buddy,drama,Shottas (2002)
buddy,drama,Crossroads (1986)
buddy,drama,Going in Style (1979)
buddy,drama,In Bruges (2008)
buddy,drama,House Party 2 (1991)
buddy,comedy drama,Pride (2007)
buddy,comedy drama,Sunny (Sseo-ni) (2011)
buddy,comedy drama,Badmaash Company (2010)
buddy,comedy drama,Coupe de Ville (1990)
buddy,comedy drama,Smoke Signals (1998)
buddy,comedy drama,Rosencrantz and Guildenstern Are Dead (1990)
buddy,comedy drama,All Dogs Go to Heaven (1989)
buddy,comedy drama,City Slickers (1991)
buddy,comedy drama,"Wild Life, The (1984)"
buddy,comedy drama,Friday (1995)
buddy,comedy drama,Withnail & I (1987)
buddy,comedy drama,The Fox and the Hound 2 (2006)
buddy,comedy drama,Big Bully (1996)
buddy,comedy drama,Camilla (1994)
buddy,comedy drama,"Fox and the Hound, The (1981)"
buddy,comedy drama,Sideways (2004)
buddy,comedy drama,"End, The (1978)"
buddy,comedy drama,Lilo & Stitch (2002)
buddy,comedy drama,"Race for Your Life, Charlie Brown (1977)"
buddy,comedy drama,3 Idiots (2009)
buddy,comedy drama,Homegrown (1998)
buddy,comedy drama,Play it to the Bone (1999)
buddy,comedy drama,"Tigger Movie, The (2000)"
buddy,comedy drama,Swingers (1996)
buddy,comedy drama,"Cure, The (1995)"
buddy,comedy drama,Here Comes the Navy (1934)
buddy,comedy drama,Fear and Loathing in Las Vegas (1998)
buddy,comedy drama,"Adventures of Priscilla, Queen of the Desert, The (1994)"
buddy,comedy drama,Harold and Maude (1971)
buddy,comedy drama,"Hunchback of Notre Dame, The (1996)"
buddy,comedy drama,"Princess and the Frog, The (2009)"
buddy,comedy drama,Toy Story 3 (2010)
buddy,comedy drama,Mississippi Grind (2015)
buddy,comedy drama,"Mighty, The (1998)"
buddy,comedy drama,Little Fauss and Big Halsy (1970)
buddy,comedy drama,Butch Cassidy and the Sundance Kid (1969)
buddy,comedy drama,Busting (1974)
buddy,comedy drama,Wisegirls (2002)
buddy,comedy drama,Gordy (1995)
buddy,comedy drama,"Going Places (Valseuses, Les) (1974)"
buddy,comedy drama,"Rescuers, The (1977)"
buddy,comedy drama,"Rookie, The (1990)"
buddy,comedy drama,First Sunday (2008)
buddy,comedy drama,Charlotte's Web 2: Wilbur's Great Adventure (2003)
buddy,comedy drama,Oliver & Company (1988)
buddy,comedy drama,Snoopy Come Home (1972)
buddy,comedy drama,With Honors (1994)
buddy,comedy drama,Rain Man (1988)
buddy,comedy drama,Chan Is Missing (1982)
buddy,crime,21 Jump Street (2012)
buddy,crime,Badmaash Company (2010)
buddy,crime,Formula 51 (2001)
buddy,crime,"Rock, The (1996)"
buddy,crime,"Shawshank Redemption, The (1994)"
buddy,crime,Date Night (2010)
buddy,crime,Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari) (1978)
buddy,crime,Trainspotting (1996)
buddy,crime,"Medallion, The (2003)"
buddy,crime,"Man, The (2005)"
buddy,crime,Who Framed Roger Rabbit? (1988)
buddy,crime,Down by Law (1986)
buddy,crime,"Piece of the Action, A (1977)"
buddy,crime,Homegrown (1998)
buddy,crime,Let's Be Cops (2014)
buddy,crime,Die Hard: With a Vengeance (1995)
buddy,crime,Busting (1974)
buddy,crime,ComDads (les Compères) (1983)
buddy,crime,"O Brother, Where Art Thou? (2000)"
buddy,crime,Beavis and Butt-Head Do America (1996)
buddy,crime,"Rookie, The (1990)"
buddy,crime,Wise Guys (1986)
buddy,crime,Sleepers (1996)
buddy,crime,Stakeout (1987)
buddy,crime,Crime Busters (1977)
buddy,crime,Harley Davidson and the Marlboro Man (1991)
buddy,crime,"City of Violence, The (Jjakpae) (2006)"
buddy,crime,Life (1999)
buddy,crime,Alien Nation (1988)
buddy,crime,Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
buddy,crime,"Hard Way, The (1991)"
buddy,crime,Nothing to Lose (1997)
buddy,crime,Pineapple Express (2008)
buddy,crime,Harry and Walter Go to New York (1976)
buddy,crime,Colors (1988)
buddy,crime,Wisegirls (2002)
buddy,crime,White Chicks (2004)
buddy,crime,Sunset (1988)
buddy,crime,Beverly Hills Cop (1984)
buddy,crime,"Classe Tous Risques (Big Risk, The) (1960)"
buddy,crime,48 Hrs. (1982)
buddy,crime,"Defiant Ones, The (1958)"
buddy,crime,We're No Angels (1989)
buddy,crime,Tango & Cash (1989)
buddy,crime,Once a Thief (Zong heng si hai) (1991)
buddy,crime,Chan Is Missing (1982)
buddy,crime,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,crime,Midnight Run (1988)
buddy,crime,Stray Dog (Nora inu) (1949)
buddy,crime,"Killer, The (Die xue shuang xiong) (1989)"
buddy,crime,Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983)
buddy,crime,Thunderbolt and Lightfoot (1974)
buddy,crime,Mad Dog Time (1996)
buddy,crime,Silver Streak (1976)
buddy,crime,Robot & Frank (2012)
buddy,crime,Running Scared (1986)
buddy,crime,Charleston (1974)
buddy,crime,Another 48 Hrs. (1990)
buddy,crime,Money Talks (1997)
buddy,crime,Live Free or Die Hard (2007)
buddy,crime,Lethal Weapon 2 (1989)
buddy,crime,"Better Tomorrow, A (Ying hung boon sik) (1986)"
buddy,crime,Osmosis Jones (2001)
buddy,crime,Amos & Andrew (1993)
buddy,crime,Taxi (1998)
buddy,crime,Pardon Us (1931)
buddy,crime,"Last Boy Scout, The (1991)"
buddy,crime,Bandits (2001)
buddy,crime,Super Fuzz (a.k.a. Super Snooper) (Poliziotto superpiù) (1980)
buddy,crime,"Sting, The (1973)"
buddy,crime,Lethal Weapon (1987)
buddy,crime,"Going Places (Valseuses, Les) (1974)"
buddy,crime,Lethal Weapon 3 (1992)
buddy,crime,First Sunday (2008)
buddy,crime,Over the Hedge (2006)
buddy,crime,Knockin' on Heaven's Door (1997)
buddy,crime,"Corruptor, The (1999)"
buddy,crime,Bottle Rocket (1996)
buddy,crime,Hot Fuzz (2007)
buddy,crime,Butch and Sundance: The Early Days (1979)
buddy,crime,Dirty Rotten Scoundrels (1988)
buddy,crime,"Boondock Saints, The (2000)"
buddy,crime,Delhi Belly (2011)
buddy,crime,Starsky & Hutch (2004)
buddy,crime,"Goat, The (a.k.a. Knock On Wood) (Chèvre, La) (1981)"
buddy,crime,"See No Evil, Hear No Evil (1989)"
buddy,crime,"Green Hornet, The (2011)"
buddy,crime,Gone Fishin' (1997)
buddy,crime,Stir Crazy (1980)
buddy,crime,Downtown (1990)
buddy,crime,Hollywood Homicide (2003)
buddy,crime,Even Angels Eat Beans (1973)
buddy,crime,Cop Out (2010)
buddy,crime,Lethal Weapon 4 (1998)
buddy,crime,Gridlock'd (1997)
buddy,crime,"Boondock Saints II: All Saints Day, The (2009)"
buddy,crime,Beverly Hills Cop III (1994)
buddy,crime,"Rescuers, The (1977)"
buddy,crime,Bulletproof (1996)
buddy,crime,Bad Boys (1995)
buddy,crime,Shottas (2002)
buddy,crime,National Security (2003)
buddy,crime,Going in Style (1979)
buddy,crime,In Bruges (2008)
buddy,heist,Die Hard: With a Vengeance (1995)
buddy,heist,Bottle Rocket (1996)
buddy,heist,Bad Boys (1995)
buddy,heist,Bandits (2001)
buddy,heist,Harry and Walter Go to New York (1976)
buddy,heist,"Piece of the Action, A (1977)"
buddy,heist,Over the Hedge (2006)
buddy,heist,First Sunday (2008)
buddy,heist,Formula 51 (2001)
buddy,heist,Going in Style (1979)
buddy,heist,"Sting, The (1973)"
buddy,heist,Thunderbolt and Lightfoot (1974)
buddy,heist,Butch and Sundance: The Early Days (1979)
buddy,heist,Once a Thief (Zong heng si hai) (1991)
buddy,heist,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,heist,Robot & Frank (2012)
buddy,parody,Hot Fuzz (2007)
buddy,parody,"Adventures of Rocky and Bullwinkle, The (2000)"
buddy,parody,Uptown Saturday Night (1974)
buddy,parody,Paul (2011)
buddy,parody,Shaun of the Dead (2004)
buddy,parody,Blankman (1994)
buddy,parody,Bill & Ted's Bogus Journey (1991)
buddy,parody,Jay and Silent Bob Strike Back (2001)
buddy,parody,Year One (2009)
buddy,parody,The Interview (2014)
buddy,parody,DeadHeads (2011)
buddy,horror,Rise (2007)
buddy,horror,Weekend at Bernie's II (1993)
buddy,horror,Lake Placid (1999)
buddy,horror,Shaun of the Dead (2004)
buddy,horror,Dreamcatcher (2003)
buddy,horror,Ghostbusters (a.k.a. Ghost Busters) (1984)
buddy,horror,Vinyan (2008)
buddy,horror,DeadHeads (2011)
buddy,mystery,Rise (2007)
buddy,mystery,Sunset (1988)
buddy,mystery,Hot Fuzz (2007)
buddy,mystery,Crossroads (1986)
