genre,movie
buddy,Hoodwinked! (2005)
buddy,On Probation (Tiempo de Valientes) (2005)
buddy,"Benchwarmers, The (2006)"
buddy,Over the Hedge (2006)
buddy,Cars (2006)
buddy,Vera Cruz (1954)
buddy,Nacho Libre (2006)
buddy,Clerks II (2006)
buddy,Test Pilot (1938)
buddy,Crime Busters (1977)
buddy,"Music Box, The (1932)"
buddy,Way Out West (1937)
buddy,"Chump at Oxford, A (1940)"
buddy,Block-Heads (1938)
buddy,Snoopy Come Home (1972)
buddy,Open Season (2006)
buddy,Flushed Away (2006)
buddy,Happy Feet (2006)
buddy,Ratatouille (2007)
buddy,Hot Fuzz (2007)
buddy,Wise Guys (1986)
buddy,Wild Hogs (2007)
buddy,Reign Over Me (2007)
buddy,Pride (2007)
buddy,Blades of Glory (2007)
buddy,Rise (2007)
buddy,Live Free or Die Hard (2007)
buddy,I Now Pronounce You Chuck and Larry (2007)
buddy,"All the Way Boys (Più forte, ragazzi!) (1972)"
buddy,Face to Face (Faccia a faccia) (1967)
buddy,"Professional Gun, A (Mercenary, The) (Mercenario, Il) (1968)"
buddy,"City of Violence, The (Jjakpae) (2006)"
buddy,"Bucket List, The (2007)"
buddy,First Sunday (2008)
buddy,Kings of the Road (Im Lauf der Zeit) (1976)
buddy,In Bruges (2008)
buddy,Chan Is Missing (1982)
buddy,Harold & Kumar Escape from Guantanamo Bay (2008)
buddy,"Honor Among Thieves (Adieu l'ami) (Farewell, Friend) (1968)"
buddy,Pocket Money (1972)
buddy,Step Brothers (2008)
buddy,Pineapple Express (2008)
buddy,Madagascar: Escape 2 Africa (2008)
buddy,Role Models (2008)
buddy,"Friend of Mine, A (Ein Freund von mir) (2006)"
buddy,"I Love You, Man (2009)"
buddy,Wrestling Ernest Hemingway (1993)
buddy,Year One (2009)
buddy,Miss March (2009)
buddy,Fuga de cerebros (2009)
buddy,3 Ring Circus (1954)
buddy,A-Haunting We Will Go (1942)
buddy,"Boondock Saints II: All Saints Day, The (2009)"
buddy,Old Dogs (2009)
buddy,"Princess and the Frog, The (2009)"
buddy,Two Rode Together (1961)
buddy,3 Idiots (2009)
buddy,Cop Out (2010)
buddy,Vinyan (2008)
buddy,"Hollywood Revue of 1929, The (1929)"
buddy,Hot Tub Time Machine (2010)
buddy,Date Night (2010)
buddy,Toy Story 3 (2010)
buddy,Grown Ups (2010)
buddy,Our Relations (1936)
buddy,Cats & Dogs: The Revenge of Kitty Galore (2010)
buddy,"Classe Tous Risques (Big Risk, The) (1960)"
buddy,Due Date (2010)
buddy,"King's Speech, The (2010)"
buddy,"Green Hornet, The (2011)"
buddy,Saps at Sea (1940)
buddy,Paul (2011)
buddy,Here Comes the Navy (1934)
buddy,Open Season 3 (2010)
buddy,Your Highness (2011)
buddy,Cars 2 (2011)
buddy,Delhi Belly (2011)
buddy,"Very Harold & Kumar 3D Christmas, A (2011)"
buddy,Zindagi Na Milegi Dobara (2011)
buddy,Masti (2004)
buddy,Badmaash Company (2010)
buddy,Me and the Colonel (1958)
buddy,"Bullfighters, The (1945)"
buddy,Hollywood Party (1934)
buddy,Happy Feet Two (2011)
buddy,21 Jump Street (2012)
buddy,You Can't Win 'Em All (1970)
buddy,Robot & Frank (2012)
buddy,Shottas (2002)
buddy,Coupe de Ville (1990)
buddy,Chasing Mavericks (2012)
buddy,Winners and Sinners (Qi mou miao ji: Wu fu xing) (1983)
buddy,My Lucky Stars (Fuk sing go jiu) (1985)
buddy,Sunny (Sseo-ni) (2011)
buddy,This Is the End (2013)
buddy,"Hangover Part III, The (2013)"
buddy,"Lone Ranger, The (2013)"
buddy,Grown Ups 2 (2013)
buddy,Collision Course (1989)
buddy,"All Dogs Christmas Carol, An (1998)"
buddy,Free Birds (2013)
buddy,Last Vegas (2013)
buddy,Trinity: Gambling for High Stakes (Odds and Evens) (Pari e dispari) (1978)
buddy,Liberty (1929)
buddy,Ride Along (2014)
buddy,"Inevitable Defeat of Mister & Pete, The (2013)"
buddy,Kai Po Che! (2013)
buddy,Mr. Peabody & Sherman (2014)
buddy,Little Fauss and Big Halsy (1970)
buddy,"Wild Life, The (1984)"
buddy,Two Tars (1928)
buddy,Let's Be Cops (2014)
buddy,Hollywood or Bust (1956)
buddy,Land Ho! (2014)
buddy,Big Hero 6 (2014)
buddy,"Dancing Masters, The (1943)"
buddy,Charlotte's Web 2: Wilbur's Great Adventure (2003)
buddy,Taxi Blues (1990)
buddy,Air Raid Wardens (1943)
buddy,DeadHeads (2011)
buddy,Dumb and Dumber To (2014)
buddy,Pardon Us (1931)
buddy,The Interview (2014)
buddy,Even Angels Eat Beans (1973)
buddy,Charleston (1974)
buddy,Busting (1974)
buddy,The Two Policemen (1984)
buddy,The Fox and the Hound 2 (2006)
buddy,Mississippi Grind (2015)
buddy,Get Hard (2015)
buddy,The Fearless Four (1997)
adventure,Toy Story (1995)
adventure,Jumanji (1995)
adventure,Tom and Huck (1995)
adventure,GoldenEye (1995)
adventure,Balto (1995)
adventure,Cutthroat Island (1995)
adventure,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
adventure,Wings of Courage (1995)
adventure,Mortal Kombat (1995)
adventure,Lamerica (1994)
adventure,Kids of the Round Table (1995)
adventure,"Indian in the Cupboard, The (1995)"
adventure,Screamers (1995)
adventure,White Squall (1996)
adventure,Broken Arrow (1996)
adventure,Bottle Rocket (1996)
adventure,Muppet Treasure Island (1996)
adventure,Rumble in the Bronx (Hont faan kui) (1995)
adventure,Race the Sun (1996)
adventure,"NeverEnding Story III, The (1994)"
adventure,"Amazing Panda Adventure, The (1995)"
adventure,Apollo 13 (1995)
adventure,Rob Roy (1995)
adventure,Batman Forever (1995)
adventure,Beyond Rangoon (1995)
adventure,Casper (1995)
adventure,Congo (1995)
adventure,First Knight (1995)
adventure,Free Willy 2: The Adventure Home (1995)
adventure,Hackers (1995)
adventure,Mighty Morphin Power Rangers: The Movie (1995)
adventure,Waterworld (1995)
adventure,Bushwhacked (1995)
adventure,Dumb & Dumber (Dumb and Dumber) (1994)
adventure,Far From Home: The Adventures of Yellow Dog (1995)
adventure,"Goofy Movie, A (1995)"
adventure,Gumby: The Movie (1995)
adventure,"Kid in King Arthur's Court, A (1995)"
adventure,Star Wars: Episode IV - A New Hope (1977)
adventure,Stargate (1994)
adventure,Star Trek: Generations (1994)
adventure,"War, The (1994)"
adventure,"Jungle Book, The (1994)"
adventure,"Lion King, The (1994)"
adventure,Maverick (1994)
adventure,"River Wild, The (1994)"
adventure,Speed (1994)
adventure,Timecop (1994)
adventure,True Lies (1994)
adventure,Wyatt Earp (1994)
adventure,"Secret Adventures of Tom Thumb, The (1993)"
adventure,Street Fighter (1994)
adventure,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994)
adventure,Black Beauty (1994)
adventure,City Slickers II: The Legend of Curly's Gold (1994)
adventure,Cliffhanger (1993)
adventure,Coneheads (1993)
adventure,Demolition Man (1993)
adventure,"Endless Summer 2, The (1994)"
adventure,Free Willy (1993)
adventure,"Getaway, The (1994)"
adventure,"Good Man in Africa, A (1994)"
adventure,Hard Target (1993)
adventure,Jurassic Park (1993)
adventure,Lassie (1994)
adventure,Last Action Hero (1993)
adventure,Executive Decision (1996)
adventure,"Perfect World, A (1993)"
adventure,"Shadow, The (1994)"
adventure,Super Mario Bros. (1993)
adventure,Surviving the Game (1994)
adventure,"Three Musketeers, The (1993)"
adventure,"Pagemaster, The (1994)"
adventure,Andre (1994)
adventure,Home Alone (1990)
adventure,Aladdin (1992)
adventure,Dances with Wolves (1990)
adventure,"Wild Bunch, The (1969)"
adventure,Homeward Bound II: Lost in San Francisco (1996)
adventure,Heavy Metal (1981)
adventure,Hellraiser: Bloodline (1996)
adventure,Scream of Stone (Cerro Torre: Schrei aus Stein) (1991)
adventure,All Dogs Go to Heaven 2 (1996)
adventure,"Little Indian, Big City (Un indien dans la ville) (1994)"
adventure,Mission: Impossible (1996)
adventure,Dragonheart (1996)
adventure,James and the Giant Peach (1996)
adventure,Mystery Science Theater 3000: The Movie (1996)
adventure,Space Jam (1996)
adventure,Barbarella (1968)
adventure,Operation Dumbo Drop (1995)
adventure,"Quest, The (1996)"
adventure,Oliver & Company (1988)
adventure,Flipper (1996)
adventure,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)"
adventure,"Rock, The (1996)"
adventure,Twister (1996)
adventure,"Stupids, The (1996)"
adventure,Gold Diggers: The Secret of Bear Mountain (1995)
adventure,"Phantom, The (1996)"
adventure,Independence Day (a.k.a. ID4) (1996)
adventure,Daylight (1996)
adventure,Alaska (1996)
adventure,Fled (1996)
adventure,"Adventures of Pinocchio, The (1996)"
adventure,Chain Reaction (1996)
adventure,Escape from L.A. (1996)
adventure,Land Before Time III: The Time of the Great Giving (1995)
adventure,For Whom the Bell Tolls (1943)
adventure,North by Northwest (1959)
adventure,Charade (1963)
adventure,"Maltese Falcon, The (1941)"
adventure,"Wizard of Oz, The (1939)"
adventure,2001: A Space Odyssey (1968)
adventure,Golden Earrings (1947)
adventure,"Adventures of Robin Hood, The (1938)"
adventure,"Mark of Zorro, The (1940)"
adventure,Around the World in 80 Days (1956)
adventure,"African Queen, The (1951)"
adventure,Beat the Devil (1953)
adventure,Fly Away Home (1996)
adventure,Maximum Risk (1996)
adventure,"Davy Crockett, King of the Wild Frontier (1955)"
adventure,Escape to Witch Mountain (1975)
adventure,Herbie Rides Again (1974)
adventure,Homeward Bound: The Incredible Journey (1993)
adventure,Swiss Family Robinson (1960)
adventure,"20,000 Leagues Under the Sea (1954)"
adventure,Robin Hood: Prince of Thieves (1991)
adventure,Pete's Dragon (1977)
adventure,Bedknobs and Broomsticks (1971)
adventure,Alice in Wonderland (1951)
adventure,"Ghost and the Darkness, The (1996)"
adventure,Macao (1952)
adventure,"Old Man and the Sea, The (1958)"
adventure,North Star (a.k.a. Tashunga) (1995)
adventure,"Abyss, The (1989)"
adventure,Escape from New York (1981)
adventure,Monty Python and the Holy Grail (1975)
adventure,Bad Moon (1996)
adventure,Star Wars: Episode V - The Empire Strikes Back (1980)
adventure,"Princess Bride, The (1987)"
adventure,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
adventure,Aliens (1986)
adventure,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
adventure,Lawrence of Arabia (1962)
adventure,Star Wars: Episode VI - Return of the Jedi (1983)
adventure,"Third Man, The (1949)"
adventure,Army of Darkness (1993)
adventure,"Big Blue, The (Grand bleu, Le) (1988)"
adventure,"Grand Day Out with Wallace and Gromit, A (1989)"
adventure,"Right Stuff, The (1983)"
adventure,"Bridge on the River Kwai, The (1957)"
adventure,"Treasure of the Sierra Madre, The (1948)"
adventure,Stand by Me (1986)
adventure,"Great Escape, The (1963)"
adventure,Back to the Future (1985)
adventure,Akira (1988)
adventure,Highlander (1986)
adventure,Ben-Hur (1959)
adventure,Indiana Jones and the Last Crusade (1989)
adventure,Forbidden Planet (1956)
adventure,"Man Who Would Be King, The (1975)"
adventure,Until the End of the World (Bis ans Ende der Welt) (1991)
adventure,Alien³ (a.k.a. Alien 3) (1992)
adventure,Star Trek: First Contact (1996)
adventure,101 Dalmatians (1996)
adventure,Die Hard 2 (1990)
adventure,Star Trek: The Motion Picture (1979)
adventure,Star Trek VI: The Undiscovered Country (1991)
adventure,Star Trek V: The Final Frontier (1989)
adventure,Star Trek II: The Wrath of Khan (1982)
adventure,Star Trek III: The Search for Spock (1984)
adventure,Star Trek IV: The Voyage Home (1986)
adventure,Under Siege (1992)
adventure,Jaws 3-D (1983)
adventure,Beavis and Butt-Head Do America (1996)
adventure,Walkabout (1971)
adventure,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996)
adventure,Dante's Peak (1997)
adventure,Turbo: A Power Rangers Movie (1997)
adventure,Anaconda (1997)
adventure,Austin Powers: International Man of Mystery (1997)
adventure,Warriors of Virtue (1997)
adventure,"Fifth Element, The (1997)"
adventure,"Second Jungle Book: Mowgli & Baloo, The (1997)"
adventure,"Lost World: Jurassic Park, The (1997)"
adventure,Buddy (1997)
adventure,Con Air (1997)
adventure,Batman & Robin (1997)
adventure,Hercules (1997)
adventure,Wild America (1997)
adventure,Conan the Barbarian (1982)
adventure,Event Horizon (1997)
adventure,Spawn (1997)
adventure,Free Willy 3: The Rescue (1997)
adventure,Excess Baggage (1997)
adventure,Kull the Conqueror (1997)
adventure,"Hunt for Red October, The (1990)"
adventure,"Edge, The (1997)"
adventure,Seven Years in Tibet (1997)
adventure,Mortal Kombat: Annihilation (1997)
adventure,Anastasia (1997)
adventure,Alien: Resurrection (1997)
adventure,Time Tracers (1995)
adventure,Tomorrow Never Dies (1997)
adventure,"Postman, The (1997)"
adventure,Firestorm (1998)
adventure,Dark City (1998)
adventure,Star Kid (1997)
adventure,Deep Rising (1998)
adventure,Sphere (1998)
adventure,"Man in the Iron Mask, The (1998)"
adventure,Paulie (1998)
adventure,Barney's Great Adventure (1998)
adventure,Lost in Space (1998)
adventure,"Borrowers, The (1997)"
adventure,Prince Valiant (1997)
adventure,Tarzan and the Lost City (1998)
adventure,Quest for Camelot (1998)
adventure,Fear and Loathing in Las Vegas (1998)
adventure,Almost Heroes (1998)
adventure,Six Days Seven Nights (1998)
adventure,Passion in the Desert (1998)
adventure,Mulan (1998)
adventure,Armageddon (1998)
adventure,Small Soldiers (1998)
adventure,Mutiny on the Bounty (1935)
adventure,Tom Jones (1963)
adventure,Labyrinth (1986)
adventure,"Goonies, The (1985)"
adventure,"Mask of Zorro, The (1998)"
adventure,Back to the Future Part II (1989)
adventure,Back to the Future Part III (1990)
adventure,"Poseidon Adventure, The (1972)"
adventure,Seven Samurai (Shichinin no samurai) (1954)
adventure,Dune (1984)
adventure,"Black Cauldron, The (1985)"
adventure,"Black Hole, The (1979)"
adventure,Blackbeard's Ghost (1968)
adventure,Candleshoe (1977)
adventure,Cheetah (1989)
adventure,Condorman (1981)
adventure,Darby O'Gill and the Little People (1959)
adventure,"Far Off Place, A (1993)"
adventure,Flight of the Navigator (1986)
adventure,"Gnome-Mobile, The (1967)"
adventure,"Great Mouse Detective, The (1986)"
adventure,Herbie Goes Bananas (1980)
adventure,Herbie Goes to Monte Carlo (1977)
adventure,"Honey, I Shrunk the Kids (1989)"
adventure,In Search of the Castaways (1962)
adventure,"Incredible Journey, The (1963)"
adventure,"'burbs, The (1989)"
adventure,"Journey of Natty Gann, The (1985)"
adventure,Kidnapped (1960)
adventure,101 Dalmatians (One Hundred and One Dalmatians) (1961)
adventure,Peter Pan (1953)
adventure,Popeye (1980)
adventure,"Rescuers Down Under, The (1990)"
adventure,"Rescuers, The (1977)"
adventure,"Return of Jafar, The (1994)"
adventure,Return to Oz (1985)
adventure,"Rocketeer, The (1991)"
adventure,Song of the South (1946)
adventure,Squanto: A Warrior's Tale (1994)
adventure,Tall Tale (1995)
adventure,Tron (1982)
adventure,Indiana Jones and the Temple of Doom (1984)
adventure,"Lord of the Rings, The (1978)"
adventure,Adventures in Babysitting (1987)
adventure,Doctor Dolittle (1967)
adventure,Watership Down (1978)
adventure,"Secret of NIMH, The (1982)"
adventure,"Dark Crystal, The (1982)"
adventure,"American Tail, An (1986)"
adventure,"American Tail: Fievel Goes West, An (1991)"
adventure,Legend (1985)
adventure,"Clan of the Cave Bear, The (1986)"
adventure,"Gods Must Be Crazy, The (1980)"
adventure,"Avengers, The (1998)"
adventure,"NeverEnding Story, The (1984)"
adventure,"NeverEnding Story II: The Next Chapter, The (1990)"
adventure,"Navigator: A Mediaeval Odyssey, The (1988)"
adventure,"Man Who Knew Too Much, The (1956)"
adventure,Willow (1988)
adventure,Jamaica Inn (1939)
adventure,Toys (1992)
adventure,Nothing But Trouble (1991)
adventure,Six-String Samurai (1998)
adventure,Antz (1998)
adventure,What Dreams May Come (1998)
adventure,2010: The Year We Make Contact (1984)
adventure,Soldier (1998)
adventure,Runaway Train (1985)
adventure,"Bug's Life, A (1998)"
adventure,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962)
adventure,King Kong (1933)
adventure,King Kong (1976)
adventure,King Kong Lives (1986)
adventure,"Emerald Forest, The (1985)"
adventure,Red Sonja (1985)
adventure,"View to a Kill, A (1985)"
adventure,Lifeforce (1985)
adventure,Babe: Pig in the City (1998)
adventure,Star Trek: Insurrection (1998)
adventure,Santa Claus: The Movie (1985)
adventure,Rambo: First Blood Part II (1985)
adventure,First Blood (Rambo: First Blood) (1982)
adventure,Rambo III (1988)
adventure,"Jewel of the Nile, The (1985)"
adventure,Romancing the Stone (1984)
adventure,Young Sherlock Holmes (1985)
adventure,"Karate Kid, Part II, The (1986)"
adventure,"Karate Kid, Part III, The (1989)"
adventure,Mighty Joe Young (1998)
adventure,Mighty Joe Young (1949)
adventure,"Garbage Pail Kids Movie, The (1987)"
adventure,Howard the Duck (1986)
adventure,Belizaire the Cajun (1986)
adventure,Crocodile Dundee (1986)
adventure,Crocodile Dundee II (1988)
adventure,Firewalker (1986)
adventure,"Day of the Beast, The (Día de la Bestia, El) (1995)"
adventure,"Towering Inferno, The (1974)"
adventure,Meteor (1979)
adventure,Logan's Run (1976)
adventure,Beyond the Poseidon Adventure (1979)
adventure,Wing Commander (1999)
adventure,Mighty Peking Man (a.k.a. Goliathon) (Xing xing wang) (1977)
adventure,My Science Project (1985)
adventure,"Mummy, The (1999)"
adventure,Black Mask (Hak hap) (1996)
adventure,Star Wars: Episode I - The Phantom Menace (1999)
adventure,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)"
adventure,Superman (1978)
adventure,Superman III (1983)
adventure,Superman IV: The Quest for Peace (1987)
adventure,Austin Powers: The Spy Who Shagged Me (1999)
adventure,Tarzan (1999)
adventure,Muppets From Space (1999)
adventure,Ghostbusters (a.k.a. Ghost Busters) (1984)
adventure,Inspector Gadget (1999)
adventure,Vibes (1988)
adventure,"Mosquito Coast, The (1986)"
adventure,"Golden Child, The (1986)"
